mode,model,learner,split_seed,learner_seed,theta,se,m_below_trim,m_above_trim
crossed,PLR,forest,0,0,8712.153510831766,1377.1408469316887,0.0,0.0
crossed,IRM,forest,0,0,7794.542372140774,1196.1618218252577,0.0,0.0
crossed,PLR,forest,0,1,8898.185031655481,1374.66048708424,0.0,0.0
crossed,IRM,forest,0,1,7792.126834431334,1199.806063489562,0.0,0.0
crossed,PLR,forest,0,2,8693.646161435214,1380.305601042607,0.0,0.0
crossed,IRM,forest,0,2,7824.816419992736,1189.7010489044999,0.0,0.0
crossed,PLR,forest,0,3,8721.204938405835,1376.4207423507066,0.0,0.0
crossed,IRM,forest,0,3,7776.0652252081045,1202.0491196650682,0.0,0.0
crossed,PLR,forest,0,4,8773.39919249329,1373.1530996511817,0.0,0.0
crossed,IRM,forest,0,4,7772.474992868324,1200.6068781051924,0.0,0.0
crossed,PLR,forest,0,5,8743.692081855388,1367.5263231611177,0.0,0.0
crossed,IRM,forest,0,5,7838.991577658906,1190.09738363134,0.0,0.0
crossed,PLR,forest,0,6,8758.38006018108,1379.403294532106,0.0,0.0
crossed,IRM,forest,0,6,7781.155810459702,1191.8275036695966,0.0,0.0
crossed,PLR,forest,0,7,8785.516052059915,1375.1860918260559,0.0,0.0
crossed,IRM,forest,0,7,7859.902517888258,1191.5693325951006,0.0,0.0
crossed,PLR,forest,0,8,8778.28669361271,1373.5771971922566,0.0,0.0
crossed,IRM,forest,0,8,7825.863702820566,1200.3499105130318,0.0,0.0
crossed,PLR,forest,0,9,8777.246259618038,1364.2971813269644,0.0,0.0
crossed,IRM,forest,0,9,7846.888376705438,1205.7672905901436,0.0,0.0
crossed,PLR,forest,1,0,8784.541915369768,1345.2105437297457,0.0,0.0
crossed,IRM,forest,1,0,7865.383288142402,1168.8872454038444,0.0,0.0
crossed,PLR,forest,1,1,8737.639072569864,1344.9072622453627,0.00010085728693898134,0.0
crossed,IRM,forest,1,1,7772.271843655295,1169.97602843042,0.00010085728693898134,0.0
crossed,PLR,forest,1,2,8777.723499790107,1332.4184458668562,0.0,0.0
crossed,IRM,forest,1,2,7879.870853614676,1164.0781490186546,0.0,0.0
crossed,PLR,forest,1,3,8755.131279282115,1343.4507295426865,0.0,0.0
crossed,IRM,forest,1,3,7838.0825909333735,1166.9771013198042,0.0,0.0
