mode,model,learner,split_seed,learner_seed,theta,se,m_below_trim,m_above_trim
expA,PLR,boosting,0,0,9278.534016776219,1389.5959726935903,0.0,0.0
expA,IRM,boosting,0,0,8097.736658090603,1223.908703817884,0.0,0.0
expA,PLR,boosting,1,0,8198.690735908134,1352.1611852324322,0.0,0.0
expA,IRM,boosting,1,0,8151.330738224434,1156.3844766622963,0.0,0.0
expA,PLR,boosting,2,0,8833.857836735753,1358.946812292586,0.0,0.0
expA,IRM,boosting,2,0,8236.11706375798,1170.5404119038803,0.0,0.0
expA,PLR,boosting,3,0,8559.832025339472,1339.0509435323822,0.0,0.0
expA,IRM,boosting,3,0,7855.826155879779,1150.3569547818906,0.0,0.0
expA,PLR,boosting,4,0,9004.714041620624,1380.2994848014182,0.0,0.0
expA,IRM,boosting,4,0,8144.457772654433,1261.595109994362,0.0,0.0
expA,PLR,boosting,5,0,8624.84915747786,1317.4272220914868,0.0,0.0
expA,IRM,boosting,5,0,7951.987151835792,1249.7056727122872,0.0,0.0
expA,PLR,boosting,6,0,9142.977428121352,1416.6044258411325,0.0,0.0
expA,IRM,boosting,6,0,7995.887855758761,1198.382288275186,0.0,0.0
expA,PLR,boosting,7,0,9067.283653267676,1347.1966643610344,0.0,0.0
expA,IRM,boosting,7,0,7850.26063983273,1184.3939458817129,0.0,0.0
expA,PLR,boosting,8,0,8454.755384013568,1339.9547403065235,0.0,0.0
expA,IRM,boosting,8,0,7959.614504979247,1223.0039841048476,0.0,0.0
expA,PLR,boosting,9,0,8410.546045064559,1358.3909305044765,0.0,0.0
expA,IRM,boosting,9,0,7883.627205914812,1159.8163937191605,0.0,0.0
expA,PLR,boosting,10,0,9249.403507149282,1379.008903278944,0.0,0.0
expA,IRM,boosting,10,0,8188.893691509064,1155.6578761056105,0.0,0.0
expA,PLR,boosting,11,0,9093.896662448382,1373.2001290004403,0.0,0.0
expA,IRM,boosting,11,0,7673.797663756972,1190.8158840849499,0.0,0.0
expA,PLR,boosting,12,0,8764.394454540929,1372.9369389096485,0.0,0.0
expA,IRM,boosting,12,0,7809.7097546680525,1193.8091138166346,0.0,0.0
expA,PLR,boosting,13,0,8455.627471772965,1327.2135319652796,0.0,0.0
expA,IRM,boosting,13,0,7195.710755290778,1183.314634257399,0.0,0.0
expA,PLR,boosting,14,0,9022.682940222643,1347.586541211409,0.0,0.0
expA,IRM,boosting,14,0,8042.852063049898,1272.971610218136,0.0,0.0
expA,PLR,boosting,15,0,8785.11283599369,1333.565778245233,0.00010085728693898134,0.0
expA,IRM,boosting,15,0,7877.029533782364,1169.294313417701,0.00010085728693898134,0.0
expA,PLR,boosting,16,0,8748.157935525955,1309.8428989136971,0.0,0.0
expA,IRM,boosting,16,0,7958.780966741394,1172.5076378302326,0.0,0.0
expA,PLR,boosting,17,0,8302.46822305371,1369.1636302964844,0.000605143721633888,0.0
expA,IRM,boosting,17,0,7628.2495810765,1203.2638948368708,0.000605143721633888,0.0
expA,PLR,boosting,18,0,8737.92589903726,1305.1669333630641,0.0,0.0
expA,IRM,boosting,18,0,7670.611310028313,1194.6530464910509,0.0,0.0
expA,PLR,boosting,19,0,8628.118693663964,1383.4153127955462,0.00020171457387796267,0.0
expA,IRM,boosting,19,0,7751.125392245754,1203.3038869965915,0.00020171457387796267,0.0
expA,PLR,boosting,20,0,9295.419136755156,1355.823899436768,0.0,0.0
expA,IRM,boosting,20,0,7833.074167650914,1207.205921745573,0.0,0.0
expA,PLR,boosting,21,0,9052.643443527717,1354.017580564179,0.0,0.0
expA,IRM,boosting,21,0,8261.986809069742,1234.5882531248485,0.0,0.0
expA,PLR,boosting,22,0,8158.577812337569,1318.4398329563987,0.0,0.0
expA,IRM,boosting,22,0,7701.818837397045,1155.1878331964808,0.0,0.0
expA,PLR,boosting,23,0,8596.871027056979,1338.9483415151046,0.0,0.0
expA,IRM,boosting,23,0,8030.672839428516,1210.780206432581,0.0,0.0
expA,PLR,boosting,24,0,8965.174214196937,1365.5109006130583,0.0,0.0
expA,IRM,boosting,24,0,8172.0583714058885,1222.297922407035,0.0,0.0
expA,PLR,boosting,25,0,8580.157450623568,1317.8732551536746,0.0,0.0
expA,IRM,boosting,25,0,7798.185056377358,1189.486870146903,0.0,0.0
expA,PLR,boosting,26,0,8909.178625478024,1345.1786856719525,0.00020171457387796267,0.0
expA,IRM,boosting,26,0,8004.700101295407,1207.9084625414632,0.00020171457387796267,0.0
expA,PLR,boosting,27,0,8127.303577158743,1341.6570988857713,0.0,0.0
expA,IRM,boosting,27,0,7696.794601789918,1214.2450620965053,0.0,0.0
expA,PLR,boosting,28,0,8800.812527357099,1326.7443966755775,0.000907715582450832,0.0
expA,IRM,boosting,28,0,8447.211993040679,1265.0307025362952,0.000907715582450832,0.0
expA,PLR,boosting,29,0,8794.336153568036,1368.380801496315,0.0,0.0
expA,IRM,boosting,29,0,8025.153508326797,1210.966693372209,0.0,0.0
expA,PLR,boosting,30,0,8595.686586610213,1366.6459420079636,0.0,0.0
