mode,model,learner,split_seed,learner_seed,theta,se,m_below_trim,m_above_trim
expA,PLR,forest,0,0,8712.153510831764,1377.1408469316887,0.0,0.0
expA,IRM,forest,0,0,7794.542372140774,1196.1618218252577,0.0,0.0
expA,PLR,forest,1,0,8784.541915369768,1345.2105437297462,0.0,0.0
expA,IRM,forest,1,0,7865.383288142402,1168.8872454038444,0.0,0.0
expA,PLR,forest,2,0,8477.867296018543,1332.3070169894938,0.0,0.0
expA,IRM,forest,2,0,7782.766852847305,1177.161800517829,0.0,0.0
expA,PLR,forest,3,0,8400.485417965012,1342.1183714383224,0.0,0.0
expA,IRM,forest,3,0,7824.781348584407,1152.7040248584674,0.0,0.0
expA,PLR,forest,4,0,8910.186028590837,1355.981762165849,0.0,0.0
expA,IRM,forest,4,0,7944.8803085090085,1160.4933766979764,0.0,0.0
expA,PLR,forest,5,0,8706.58465517264,1319.1483106568805,0.0,0.0
expA,IRM,forest,5,0,7796.281550951578,1159.3771061490347,0.0,0.0
expA,PLR,forest,6,0,8454.51429691356,1364.8316906137397,0.0,0.0
expA,IRM,forest,6,0,7706.384559454779,1188.6203722382425,0.0,0.0
expA,PLR,forest,7,0,8729.282947646703,1342.6386060519096,0.0,0.0
expA,IRM,forest,7,0,7996.424741842444,1173.8799191690146,0.0,0.0
expA,PLR,forest,8,0,8471.567785651763,1322.3243354083652,0.0,0.0
expA,IRM,forest,8,0,7698.3760682460625,1136.9934327675653,0.0,0.0
expA,PLR,forest,9,0,8521.216244216546,1307.9677864687112,0.0,0.0
expA,IRM,forest,9,0,7825.936135194971,1144.7692056937399,0.0,0.0
expA,PLR,forest,10,0,8884.959406488704,1348.880546242432,0.0,0.0
expA,IRM,forest,10,0,7923.2746808382035,1163.295293887883,0.0,0.0
expA,PLR,forest,11,0,8526.11381722468,1339.0045244808125,0.0,0.0
expA,IRM,forest,11,0,7789.132756746385,1159.8294042557977,0.0,0.0
expA,PLR,forest,12,0,8294.155729171123,1315.7118914690436,0.0,0.0
expA,IRM,forest,12,0,7783.469595164484,1157.1588068449876,0.0,0.0
expA,PLR,forest,13,0,8550.393934993537,1318.0542207095689,0.0,0.0
expA,IRM,forest,13,0,7630.168004515302,1165.3555773249625,0.0,0.0
expA,PLR,forest,14,0,8731.493227670519,1323.336376255903,0.0,0.0
expA,IRM,forest,14,0,7810.63632256762,1167.0707616507714,0.0,0.0
expA,PLR,forest,15,0,8468.832717713392,1303.9710970807541,0.0,0.0
expA,IRM,forest,15,0,7663.377171065629,1133.0159150080406,0.0,0.0
expA,PLR,forest,16,0,8644.197757377966,1306.5745749822404,0.0,0.0
