mode,model,learner,split_seed,learner_seed,theta,se,m_below_trim,m_above_trim
expA,PLR,lasso,0,0,9873.442279044104,1341.348108815581,0.00010085728693898134,0.0
expA,IRM,lasso,0,0,8049.462877913794,1256.4586086823476,0.00010085728693898134,0.0
expA,PLR,lasso,1,0,10062.206664443542,1349.3326566899998,0.0,0.0
expA,IRM,lasso,1,0,8706.641563297533,1379.3131833582675,0.0,0.0
expA,PLR,lasso,2,0,9983.239410687129,1333.679221952584,0.00010085728693898134,0.0
expA,IRM,lasso,2,0,8062.584570362052,1248.5393268638647,0.00010085728693898134,0.0
expA,PLR,lasso,3,0,9775.999283717665,1360.9378053961216,0.00020171457387796267,0.0
expA,IRM,lasso,3,0,7649.563568055001,1352.809518968687,0.00020171457387796267,0.0
expA,PLR,lasso,4,0,10571.62987314389,1406.6270602503364,0.00020171457387796267,0.0
expA,IRM,lasso,4,0,9104.763609200429,1509.2712855607192,0.00020171457387796267,0.0
expA,PLR,lasso,5,0,9745.233101343945,1331.712255924744,0.00010085728693898134,0.0
expA,IRM,lasso,5,0,7982.099924463294,1314.1657453360228,0.00010085728693898134,0.0
expA,PLR,lasso,6,0,9832.068663806751,1321.4080887330624,0.0,0.0
expA,IRM,lasso,6,0,8067.665048146249,1278.5270739337732,0.0,0.0
expA,PLR,lasso,7,0,10280.508852791372,1336.418943863421,0.00020171457387796267,0.0
expA,IRM,lasso,7,0,8970.165997368673,1378.7097212406502,0.00020171457387796267,0.0
expA,PLR,lasso,8,0,9702.69022321896,1312.0204743840943,0.00020171457387796267,0.0
expA,IRM,lasso,8,0,7985.650483645773,1227.1939706150758,0.00020171457387796267,0.0
expA,PLR,lasso,9,0,9879.983622687289,1325.6863142900256,0.0,0.0
expA,IRM,lasso,9,0,8076.224985149636,1252.221404429096,0.0,0.0
expA,PLR,lasso,10,0,9705.49119810131,1330.3832422435837,0.0,0.0
expA,IRM,lasso,10,0,8052.188723286683,1239.3530150611396,0.0,0.0
expA,PLR,lasso,11,0,9906.874099999415,1339.7846031999247,0.0,0.0
expA,IRM,lasso,11,0,7952.950870080864,1259.3249071767216,0.0,0.0
expA,PLR,lasso,12,0,10096.539224436921,1336.0232849782444,0.00010085728693898134,0.0
expA,IRM,lasso,12,0,8206.826303057609,1246.693686450234,0.00010085728693898134,0.0
expA,PLR,lasso,13,0,10055.667597406336,1323.8557423210127,0.0,0.0
expA,IRM,lasso,13,0,8367.560166301215,1227.3752058394248,0.0,0.0
expA,PLR,lasso,14,0,10281.453245008772,1390.4404452103097,0.00010085728693898134,0.0
expA,IRM,lasso,14,0,8553.012051906371,1363.712371912442,0.00010085728693898134,0.0
expA,PLR,lasso,15,0,9893.959960986052,1329.6632333750072,0.0,0.0
