mode,model,learner,split_seed,learner_seed,theta,se,m_below_trim,m_above_trim
expB,PLR,boosting,0,0,9278.534016776219,1389.5959726935903,0.0,0.0
expB,IRM,boosting,0,0,8097.736658090603,1223.908703817884,0.0,0.0
expB,PLR,boosting,0,1,8980.89868297323,1385.1713720762427,0.0,0.0
expB,IRM,boosting,0,1,7799.308036795846,1253.9122660290852,0.0,0.0
expB,PLR,boosting,0,2,8705.237997524739,1382.199292716813,0.0,0.0
expB,IRM,boosting,0,2,7518.800651043444,1238.484404086849,0.0,0.0
expB,PLR,boosting,0,3,9003.887428636188,1396.7755856286703,0.0,0.0
expB,IRM,boosting,0,3,7818.15830793183,1252.0570749120784,0.0,0.0
expB,PLR,boosting,0,4,8679.679242459368,1399.273761416467,0.0,0.0
expB,IRM,boosting,0,4,7957.61472780807,1222.1253772515556,0.0,0.0
expB,PLR,boosting,0,5,9135.161988099304,1383.2452885072785,0.0,0.0
expB,IRM,boosting,0,5,7583.403966178097,1248.9163229246956,0.0,0.0
expB,PLR,boosting,0,6,8138.950875738899,1419.6272610592052,0.0,0.0
expB,IRM,boosting,0,6,7552.170835151285,1247.139958420544,0.0,0.0
expB,PLR,boosting,0,7,8405.594068618724,1410.9294035716364,0.0,0.0
expB,IRM,boosting,0,7,7668.262262083368,1231.659918240712,0.0,0.0
expB,PLR,boosting,0,8,8975.583803563677,1402.7718668023458,0.00010085728693898134,0.0
expB,IRM,boosting,0,8,7651.213650419578,1204.1023074682182,0.00010085728693898134,0.0
expB,PLR,boosting,0,9,8770.219677342297,1359.5346893163369,0.0,0.0
expB,IRM,boosting,0,9,8321.576292460757,1219.699210191506,0.0,0.0
expB,PLR,boosting,0,10,8338.487124619945,1397.997286044012,0.00040342914775592535,0.0
expB,IRM,boosting,0,10,7675.301047763759,1258.8885246435048,0.00040342914775592535,0.0
expB,PLR,boosting,0,11,8665.606593997629,1388.07987621116,0.0,0.0
expB,IRM,boosting,0,11,7533.233125014115,1267.4392846325568,0.0,0.0
expB,PLR,boosting,0,12,8178.796021404378,1439.7708523126694,0.0,0.0
expB,IRM,boosting,0,12,7719.907702761675,1249.9564576887333,0.0,0.0
expB,PLR,boosting,0,13,8145.256306927188,1367.1923712521661,0.0,0.0
expB,IRM,boosting,0,13,7815.7045680970405,1243.0536641558097,0.0,0.0
expB,PLR,boosting,0,14,8921.580279925285,1411.629242680778,0.00010085728693898134,0.0
expB,IRM,boosting,0,14,7821.095913858601,1280.9425615843302,0.00010085728693898134,0.0
expB,PLR,boosting,0,15,8040.248840268711,1375.4216945540409,0.0,0.0
expB,IRM,boosting,0,15,7901.830003636354,1204.4155349538873,0.0,0.0
expB,PLR,boosting,0,16,8860.548517556845,1417.0059300069684,0.0,0.0
expB,IRM,boosting,0,16,7966.71688950418,1208.7161925711475,0.0,0.0
expB,PLR,boosting,0,17,9084.209398067815,1381.1861407894871,0.0,0.0
expB,IRM,boosting,0,17,7909.503543904347,1245.3627185363262,0.0,0.0
expB,PLR,boosting,0,18,8896.845590811556,1375.3892653131725,0.0,0.0
expB,IRM,boosting,0,18,7516.447022852966,1228.286258701976,0.0,0.0
expB,PLR,boosting,0,19,8794.509090002091,1456.7999131204685,0.000907715582450832,0.0
expB,IRM,boosting,0,19,7694.308487493208,1295.302518092311,0.000907715582450832,0.0
expB,PLR,boosting,0,20,8741.698219220094,1357.6339123084927,0.0,0.0
expB,IRM,boosting,0,20,8118.921931052739,1260.708254855881,0.0,0.0
expB,PLR,boosting,0,21,8978.202953806354,1397.941870317935,0.0,0.0
expB,IRM,boosting,0,21,7791.489190254392,1281.7922715830312,0.0,0.0
expB,PLR,boosting,0,22,8762.106028081243,1413.5155857237369,0.0,0.0
expB,IRM,boosting,0,22,7892.883550790611,1203.9997324395947,0.0,0.0
expB,PLR,boosting,0,23,9107.436124564254,1389.1645152996145,0.0,0.0
expB,IRM,boosting,0,23,8458.092973916446,1226.4357961668863,0.0,0.0
expB,PLR,boosting,0,24,8459.827267244784,1398.1710212324817,0.0013111447302067575,0.0
expB,IRM,boosting,0,24,7930.857153436135,1214.904881009082,0.0013111447302067575,0.0
expB,PLR,boosting,0,25,8958.976236276747,1420.4043714189136,0.00020171457387796267,0.0
expB,IRM,boosting,0,25,8119.305955919584,1205.0620916694088,0.00020171457387796267,0.0
expB,PLR,boosting,0,26,8923.2354277647,1368.356140831157,0.0,0.0
expB,IRM,boosting,0,26,7894.476225989062,1262.861980643889,0.0,0.0
expB,PLR,boosting,0,27,8141.623918712069,1381.9677886249165,0.0,0.0
expB,IRM,boosting,0,27,8421.674740160117,1308.7781859317975,0.0,0.0
expB,PLR,boosting,0,28,9200.354624870155,1331.1367871818302,0.000302571860816944,0.0
expB,IRM,boosting,0,28,7842.98184006466,1261.931106072128,0.000302571860816944,0.0
expB,PLR,boosting,0,29,8720.397924145052,1393.2142244231693,0.0,0.0
expB,IRM,boosting,0,29,7888.0335782545,1231.6363339743798,0.0,0.0
expB,PLR,boosting,0,30,8858.54059718227,1417.4373630130087,0.0011094301563287948,0.0
expB,IRM,boosting,0,30,8030.6262911366775,1272.5978325299627,0.0011094301563287948,0.0
expB,PLR,boosting,0,31,9441.842319112004,1366.344553910326,0.000605143721633888,0.0
expB,IRM,boosting,0,31,7703.073157877223,1242.6540064480116,0.000605143721633888,0.0
expB,PLR,boosting,0,32,9191.58964946096,1398.3370689358285,0.0,0.0
expB,IRM,boosting,0,32,8257.98032844003,1254.4628914662326,0.0,0.0
expB,PLR,boosting,0,33,8831.675768516612,1422.915755916225,0.0,0.0
expB,IRM,boosting,0,33,7967.331206434709,1230.529929615747,0.0,0.0
expB,PLR,boosting,0,34,8601.358968857572,1371.542130346117,0.0,0.0
expB,IRM,boosting,0,34,7774.809707551888,1218.7223605139548,0.0,0.0
expB,PLR,boosting,0,35,8781.72750842049,1356.2421017344932,0.0,0.0
expB,IRM,boosting,0,35,8107.04979981542,1211.4956337084047,0.0,0.0
expB,PLR,boosting,0,36,8791.450677610157,1368.4142384640943,0.00010085728693898134,0.0
expB,IRM,boosting,0,36,8095.03245430397,1259.3211683273923,0.00010085728693898134,0.0
expB,PLR,boosting,0,37,8337.478612787296,1397.304899129855,0.0,0.0
expB,IRM,boosting,0,37,8152.61177000713,1214.6735491971494,0.0,0.0
expB,PLR,boosting,0,38,8858.495147057689,1383.2435231882712,0.0,0.0
expB,IRM,boosting,0,38,7857.3377284771495,1227.9225375446335,0.0,0.0
expB,PLR,boosting,0,39,8783.13759303501,1395.938317584572,0.0007060010085728693,0.0
expB,IRM,boosting,0,39,7548.497831042048,1306.743882278746,0.0007060010085728693,0.0
expB,PLR,boosting,0,40,8691.747189817033,1353.0127968634608,0.0,0.0
expB,IRM,boosting,0,40,7965.026635112263,1228.7435729236818,0.0,0.0
expB,PLR,boosting,0,41,8681.675758405197,1394.6028941719171,0.0,0.0
expB,IRM,boosting,0,41,8133.133542642921,1235.3303224423032,0.0,0.0
expB,PLR,boosting,0,42,8694.7215129424,1357.3806392226077,0.00010085728693898134,0.0
expB,IRM,boosting,0,42,8012.325574862407,1233.915623551944,0.00010085728693898134,0.0
expB,PLR,boosting,0,43,9021.99093928786,1391.604570986821,0.0,0.0
expB,IRM,boosting,0,43,8165.2179132176325,1208.8412083989895,0.0,0.0
expB,PLR,boosting,0,44,9021.014354942048,1336.8710617906797,0.0,0.0
expB,IRM,boosting,0,44,8521.450819010017,1280.6010493793142,0.0,0.0
expB,PLR,boosting,0,45,8930.856823032835,1376.8543847656947,0.0,0.0
expB,IRM,boosting,0,45,7735.769583974862,1230.5637313032857,0.0,0.0
expB,PLR,boosting,0,46,8803.379607451376,1412.500424710954,0.00020171457387796267,0.0
expB,IRM,boosting,0,46,7679.017295556644,1220.7086466925318,0.00020171457387796267,0.0
expB,PLR,boosting,0,47,8352.338991043469,1424.4000545398808,0.0,0.0
expB,IRM,boosting,0,47,7877.1963142482955,1251.8712785980606,0.0,0.0
expB,PLR,boosting,0,48,8911.16766805145,1411.763805317877,0.0,0.0
expB,IRM,boosting,0,48,8126.288658878257,1245.6990175127405,0.0,0.0
expB,PLR,boosting,0,49,8828.322674571105,1379.387804941681,0.0,0.0
expB,IRM,boosting,0,49,8162.1745165261245,1250.0423304465228,0.0,0.0
expB,PLR,boosting,0,50,9045.249386273406,1385.1903541912313,0.0,0.0
expB,IRM,boosting,0,50,7744.046090247522,1242.5777619894723,0.0,0.0
expB,PLR,boosting,0,51,8796.584077382773,1386.4840366692692,0.0,0.0
expB,IRM,boosting,0,51,7791.569300938107,1235.364369353111,0.0,0.0
expB,PLR,boosting,0,52,9075.480654253968,1361.5543862978066,0.0,0.0
expB,IRM,boosting,0,52,7871.976274183968,1210.2964107989903,0.0,0.0
expB,PLR,boosting,0,53,8646.118341798627,1375.0766620895124,0.0,0.0
expB,IRM,boosting,0,53,7797.517538865644,1225.8543638332724,0.0,0.0
expB,PLR,boosting,0,54,8558.090518741106,1416.279269721082,0.00010085728693898134,0.0
expB,IRM,boosting,0,54,8161.4047416869325,1228.6175684339423,0.00010085728693898134,0.0
expB,PLR,boosting,0,55,8685.362228106495,1406.2310097648758,0.00010085728693898134,0.0
expB,IRM,boosting,0,55,7698.917039975649,1242.4490159511897,0.00010085728693898134,0.0
