mode,model,learner,split_seed,learner_seed,theta,se,m_below_trim,m_above_trim
expB,PLR,forest,0,0,8712.153510831762,1377.1408469316887,0.0,0.0
expB,IRM,forest,0,0,7794.542372140774,1196.1618218252577,0.0,0.0
expB,PLR,forest,0,1,8898.185031655481,1374.6604870842395,0.0,0.0
expB,IRM,forest,0,1,7792.126834431334,1199.8060634895617,0.0,0.0
expB,PLR,forest,0,2,8693.646161435214,1380.305601042607,0.0,0.0
expB,IRM,forest,0,2,7824.816419992736,1189.7010489044999,0.0,0.0
expB,PLR,forest,0,3,8721.204938405835,1376.4207423507066,0.0,0.0
expB,IRM,forest,0,3,7776.065225208104,1202.0491196650685,0.0,0.0
expB,PLR,forest,0,4,8773.39919249329,1373.1530996511817,0.0,0.0
expB,IRM,forest,0,4,7772.474992868324,1200.6068781051922,0.0,0.0
expB,PLR,forest,0,5,8743.692081855388,1367.5263231611177,0.0,0.0
expB,IRM,forest,0,5,7838.991577658906,1190.09738363134,0.0,0.0
expB,PLR,forest,0,6,8758.380060181076,1379.403294532106,0.0,0.0
expB,IRM,forest,0,6,7781.155810459702,1191.8275036695966,0.0,0.0
expB,PLR,forest,0,7,8785.516052059913,1375.186091826056,0.0,0.0
expB,IRM,forest,0,7,7859.902517888258,1191.5693325951006,0.0,0.0
expB,PLR,forest,0,8,8778.286693612707,1373.5771971922563,0.0,0.0
expB,IRM,forest,0,8,7825.863702820567,1200.3499105130318,0.0,0.0
expB,PLR,forest,0,9,8777.246259618038,1364.2971813269646,0.0,0.0
expB,IRM,forest,0,9,7846.888376705438,1205.7672905901436,0.0,0.0
expB,PLR,forest,0,10,8812.67661678703,1374.1142451594708,0.0,0.0
expB,IRM,forest,0,10,7771.318452651078,1193.0579961443784,0.0,0.0
expB,PLR,forest,0,11,8721.992358597521,1382.7302709928763,0.0,0.0
expB,IRM,forest,0,11,7714.480674173179,1201.4317489814007,0.0,0.0
expB,PLR,forest,0,12,8844.299648921251,1372.3880490444578,0.0,0.0
expB,IRM,forest,0,12,7778.292352939683,1198.1663172616265,0.0,0.0
expB,PLR,forest,0,13,8737.831046589243,1380.368799441716,0.0,0.0
expB,IRM,forest,0,13,7784.2163602131295,1205.4721703366106,0.0,0.0
expB,PLR,forest,0,14,8764.314400324502,1372.733659016888,0.0,0.0
expB,IRM,forest,0,14,7803.109330045512,1185.2563719144616,0.0,0.0
expB,PLR,forest,0,15,8821.538964506528,1368.9182611390402,0.0,0.0
expB,IRM,forest,0,15,7772.8589318530585,1201.1534559420538,0.0,0.0
expB,PLR,forest,0,16,8763.034283938692,1382.0082119929607,0.0,0.0
expB,IRM,forest,0,16,7826.757522419134,1181.2464142065878,0.0,0.0
expB,PLR,forest,0,17,8769.808095483826,1368.1707309966914,0.0,0.0
expB,IRM,forest,0,17,7735.135700090326,1203.2588477859504,0.0,0.0
expB,PLR,forest,0,18,8789.16145921313,1383.182300023561,0.0,0.0
expB,IRM,forest,0,18,7731.432167987149,1195.2547415945417,0.0,0.0
expB,PLR,forest,0,19,8767.66167444431,1379.4084352305283,0.0,0.0
expB,IRM,forest,0,19,7815.828429097054,1196.5339162587711,0.0,0.0
expB,PLR,forest,0,20,8867.723723785544,1365.959839799247,0.0,0.0
expB,IRM,forest,0,20,7801.4994869977045,1198.505380991567,0.0,0.0
expB,PLR,forest,0,21,8717.94077966173,1371.42640266796,0.0,0.0
expB,IRM,forest,0,21,7782.061385185885,1187.7985924373234,0.0,0.0
expB,PLR,forest,0,22,8782.017679157985,1388.5350011460623,0.0,0.0
expB,IRM,forest,0,22,7751.6667406976685,1197.2269199895657,0.0,0.0
expB,PLR,forest,0,23,8734.318293401637,1376.6742379669713,0.0,0.0
expB,IRM,forest,0,23,7771.785665708215,1198.288156580616,0.0,0.0
expB,PLR,forest,0,24,8785.489476932496,1367.8352609328638,0.0,0.0
expB,IRM,forest,0,24,7820.042177831736,1191.1770051407614,0.0,0.0
expB,PLR,forest,0,25,8817.94226838194,1361.3516124722382,0.0,0.0
expB,IRM,forest,0,25,7809.85269488807,1195.0596319459767,0.0,0.0
expB,PLR,forest,0,26,8722.656573471497,1388.7825544616858,0.0,0.0
expB,IRM,forest,0,26,7702.337829940084,1206.6200447864483,0.0,0.0
expB,PLR,forest,0,27,8820.300402723326,1376.6817931884455,0.0,0.0
