mode,model,learner,split_seed,learner_seed,theta,se,m_below_trim,m_above_trim
expB,PLR,lasso,0,0,9873.442279044104,1341.348108815581,0.00010085728693898134,0.0
expB,IRM,lasso,0,0,8049.462877913794,1256.4586086823476,0.00010085728693898134,0.0
expB,PLR,lasso,0,1,9873.442279044104,1341.348108815581,0.00010085728693898134,0.0
expB,IRM,lasso,0,1,8053.045726213148,1256.6715455063602,0.00010085728693898134,0.0
expB,PLR,lasso,0,2,9873.442279044104,1341.348108815581,0.00010085728693898134,0.0
expB,IRM,lasso,0,2,8050.38646895673,1256.578286455814,0.00010085728693898134,0.0
expB,PLR,lasso,0,3,9873.442279044104,1341.348108815581,0.00010085728693898134,0.0
expB,IRM,lasso,0,3,8054.128921379593,1256.826638379074,0.00010085728693898134,0.0
expB,PLR,lasso,0,4,9873.442279044104,1341.348108815581,0.00010085728693898134,0.0
expB,IRM,lasso,0,4,8057.918328393008,1256.858176295504,0.00010085728693898134,0.0
expB,PLR,lasso,0,5,9873.442279044104,1341.348108815581,0.00010085728693898134,0.0
expB,IRM,lasso,0,5,8049.900511799711,1256.6076089050869,0.00010085728693898134,0.0
expB,PLR,lasso,0,6,9873.442279044104,1341.348108815581,0.00010085728693898134,0.0
expB,IRM,lasso,0,6,8048.650069037131,1256.7492340918425,0.00010085728693898134,0.0
expB,PLR,lasso,0,7,9873.442279044104,1341.348108815581,0.00010085728693898134,0.0
expB,IRM,lasso,0,7,8049.905263784024,1256.5643385354524,0.00010085728693898134,0.0
expB,PLR,lasso,0,8,9873.442279044104,1341.348108815581,0.00010085728693898134,0.0
expB,IRM,lasso,0,8,8054.060250599259,1256.6519532841985,0.00010085728693898134,0.0
expB,PLR,lasso,0,9,9873.442279044104,1341.348108815581,0.00010085728693898134,0.0
expB,IRM,lasso,0,9,8048.956871815168,1256.6599260443468,0.00010085728693898134,0.0
expB,PLR,lasso,0,10,9873.442279044104,1341.348108815581,0.00010085728693898134,0.0
expB,IRM,lasso,0,10,8050.041480222701,1256.729493563828,0.00010085728693898134,0.0
expB,PLR,lasso,0,11,9873.442279044104,1341.348108815581,0.00010085728693898134,0.0
expB,IRM,lasso,0,11,8047.658370135768,1256.7975873366681,0.00010085728693898134,0.0
expB,PLR,lasso,0,12,9873.442279044104,1341.348108815581,0.00010085728693898134,0.0
expB,IRM,lasso,0,12,8052.248972744166,1256.7566027084376,0.00010085728693898134,0.0
expB,PLR,lasso,0,13,9873.442279044104,1341.348108815581,0.00010085728693898134,0.0
expB,IRM,lasso,0,13,8048.452980680197,1256.657675053073,0.00010085728693898134,0.0
expB,PLR,lasso,0,14,9873.442279044104,1341.348108815581,0.00010085728693898134,0.0
expB,IRM,lasso,0,14,8050.986506079145,1256.6198828723395,0.00010085728693898134,0.0
expB,PLR,lasso,0,15,9873.442279044104,1341.348108815581,0.00010085728693898134,0.0
expB,IRM,lasso,0,15,8052.525166268078,1256.7558065973244,0.00010085728693898134,0.0
expB,PLR,lasso,0,16,9873.442279044104,1341.348108815581,0.00010085728693898134,0.0
expB,IRM,lasso,0,16,8053.270246961839,1256.767767200482,0.00010085728693898134,0.0
expB,PLR,lasso,0,17,9873.442279044104,1341.348108815581,0.00010085728693898134,0.0
expB,IRM,lasso,0,17,8058.844844350919,1256.9606425850068,0.00010085728693898134,0.0
expB,PLR,lasso,0,18,9873.442279044104,1341.348108815581,0.00010085728693898134,0.0
expB,IRM,lasso,0,18,8054.3959988902825,1256.661795737338,0.00010085728693898134,0.0
expB,PLR,lasso,0,19,9873.442279044104,1341.348108815581,0.00010085728693898134,0.0
expB,IRM,lasso,0,19,8054.209320244377,1256.6984233090182,0.00010085728693898134,0.0
expB,PLR,lasso,0,20,9873.442279044104,1341.348108815581,0.00010085728693898134,0.0
expB,IRM,lasso,0,20,8053.885510844043,1256.8390152537047,0.00010085728693898134,0.0
expB,PLR,lasso,0,21,9873.442279044104,1341.348108815581,0.00010085728693898134,0.0
expB,IRM,lasso,0,21,8047.262683178217,1256.7294188698381,0.00010085728693898134,0.0
expB,PLR,lasso,0,22,9873.442279044104,1341.348108815581,0.00010085728693898134,0.0
expB,IRM,lasso,0,22,8047.810794872354,1256.6569952720909,0.00010085728693898134,0.0
expB,PLR,lasso,0,23,9873.442279044104,1341.348108815581,0.00010085728693898134,0.0
expB,IRM,lasso,0,23,8050.970871885792,1256.7168814827635,0.00010085728693898134,0.0
expB,PLR,lasso,0,24,9873.442279044104,1341.348108815581,0.00010085728693898134,0.0
expB,IRM,lasso,0,24,8051.092874972245,1256.6210538513878,0.00010085728693898134,0.0
expB,PLR,lasso,0,25,9873.442279044104,1341.348108815581,0.00010085728693898134,0.0
expB,IRM,lasso,0,25,8061.3292503015045,1258.7528816860051,0.00010085728693898134,0.0
expB,PLR,lasso,0,26,9873.442279044104,1341.348108815581,0.00010085728693898134,0.0
expB,IRM,lasso,0,26,8058.84316244557,1256.69348504071,0.00010085728693898134,0.0
expB,PLR,lasso,0,27,9873.442279044104,1341.348108815581,0.00010085728693898134,0.0
expB,IRM,lasso,0,27,8051.610935016838,1256.7389750660946,0.00010085728693898134,0.0
expB,PLR,lasso,0,28,9873.442279044104,1341.348108815581,0.00010085728693898134,0.0
expB,IRM,lasso,0,28,8048.369390973616,1256.6788223650901,0.00010085728693898134,0.0
expB,PLR,lasso,0,29,9873.442279044104,1341.348108815581,0.00010085728693898134,0.0
expB,IRM,lasso,0,29,8054.603584442232,1256.7256099706435,0.00010085728693898134,0.0
expB,PLR,lasso,0,30,9873.442279044104,1341.348108815581,0.00010085728693898134,0.0
expB,IRM,lasso,0,30,8049.351822776235,1256.7986673861208,0.00010085728693898134,0.0
expB,PLR,lasso,0,31,9873.442279044104,1341.348108815581,0.00010085728693898134,0.0
expB,IRM,lasso,0,31,8047.850529695477,1256.6858135985783,0.00010085728693898134,0.0
expB,PLR,lasso,0,32,9873.442279044104,1341.348108815581,0.00010085728693898134,0.0
expB,IRM,lasso,0,32,8051.062336545678,1256.7122970599637,0.00010085728693898134,0.0
expB,PLR,lasso,0,33,9873.442279044104,1341.348108815581,0.00010085728693898134,0.0
expB,IRM,lasso,0,33,8054.196718116803,1256.8155349097904,0.00010085728693898134,0.0
expB,PLR,lasso,0,34,9873.442279044104,1341.348108815581,0.00010085728693898134,0.0
expB,IRM,lasso,0,34,8048.732665378535,1256.7433043856765,0.00010085728693898134,0.0
expB,PLR,lasso,0,35,9873.442279044104,1341.348108815581,0.00010085728693898134,0.0
expB,IRM,lasso,0,35,8048.2425166960265,1256.691465670808,0.00010085728693898134,0.0
