rep,oracle_theta,oracle_se,oracle_cover,armA_theta,armA_se,armA_cover,armA_term_a,armA_term_b,armB_theta,armB_se,armB_cover,armB_term_a,armB_term_c,armB_term_b,armB_r2_l_in,armBsym_theta,armBsym_se,armBsym_cover,armBsym_term_a,armBsym_term_c,armBsym_term_b,armC_theta,armC_se,armC_cover,armC_term_a,armC_term_c,armC_term_b,armC_rmse_l,armC_rmse_m
0,0.46227897179362876,0.03764889587038237,1,0.5508070581697138,0.05041373778402492,1,-0.0071479160190897,0.05795497418880342,0.2839009265979651,0.025356622618571144,0,-0.03536098845156089,-0.15808987065715677,-0.022648214293317204,0.8477580926495196,0.4522722643706768,0.040078842915354504,1,-0.08876662678041461,0.0667644316014989,-0.02572554045040749,0.45868059040296977,0.0398563976117679,1,-0.03542531835834007,0.00557296110092344,-0.011467052339613681,0.40184148800854663,0.19834981850058328
1,0.5343851727483975,0.03986498701537549,1,0.6220202777583645,0.05145670091881561,0,0.06179127536060935,0.06022900239775518,0.3059495479819805,0.02622656797292451,0,0.031613970143746166,-0.21483707652827816,-0.010827345633487615,0.8438569248698738,0.49380205997862736,0.04175033744535045,1,0.08168188325460413,-0.13196213007694604,0.04408230680096932,0.5076746181234866,0.041221344721448734,1,0.031509866250148295,-0.031421212378857866,0.007585964252196185,0.42351349086587464,0.19853519297736955
2,0.5077396323004146,0.04163554872592165,1,0.5737119153807918,0.05098291778793994,1,-0.04034526149367035,0.11405717687446205,0.335781789649931,0.028381248428383198,0,0.007178316540107628,-0.14683945625136377,-0.024557070638812763,0.8342034407506022,0.5483471397605192,0.044994696960939114,1,0.01844690670326584,0.06854480696492939,-0.038644573907676,0.5369300318275079,0.04482960373414325,1,0.007332155269845301,0.03366955683615589,-0.004071680278493398,0.4392407951745582,0.18383427505082212
3,0.45235780343912757,0.043603984282087,1,0.47984070778881716,0.05199122253057875,1,-0.069587357471707,0.049428065260523985,0.2675452582283438,0.029159111493849952,0,-0.044571360844018845,-0.17415197033124094,-0.013731410596396416,0.8579408258715195,0.43046770860694905,0.04695348336653446,1,-0.11364079970031879,0.0578540933358263,-0.013745585028558391,0.4151774876469507,0.046731056799517424,1,-0.04467385224854533,-0.030641861378045532,-0.009506798726458359,0.4147269681507372,0.1958636769437001
4,0.4634321374662313,0.04218909498641493,1,0.5955367807803912,0.05821298857880067,1,-0.02820582521508999,0.12374260599548122,0.2714792515682367,0.028774363256894905,0,-0.03292714349961729,-0.16978021766064785,-0.025813387271498112,0.8337006248060262,0.42431881453466647,0.04720119312898725,1,-0.08486863284112331,0.019183367173109266,-0.009995919797319366,0.4412710515246998,0.04430539685812928,1,-0.033329073199476,-0.010986091923185157,-0.014413783352638994,0.42161782987794516,0.1834853952785574
5,0.526832696752288,0.04374800367050814,1,0.6980561998666754,0.06281918130577355,0,-0.002495668233978117,0.20055186810065365,0.3314853483665918,0.030028166565282677,0,0.02563336166030126,-0.17534372333318804,-0.018804289960521452,0.8402038114325996,0.5282659476612476,0.047230330653766715,1,0.06447128032078464,-0.0341662319915815,-0.0020391006679556407,0.5320065032815441,0.046285032305267,1,0.025289266813922993,0.007937140244903405,-0.001219903777282189,0.49171642035798724,0.18070729954906195
6,0.5828218886200947,0.04296013011325476,1,0.6857434530425613,0.053094497645008815,0,0.05976079936661984,0.12598265367594155,0.3447039481266538,0.028401299928215138,0,0.07619293682639047,-0.2217976771683711,-0.009691311531365494,0.8308002791496699,0.553123471034893,0.04521684803714413,1,0.1933700052957415,-0.1754964607206734,0.03524992645982498,0.564602639600776,0.044343955502893516,1,0.07627441615182418,-0.01623209190303707,0.0045603153519888605,0.49152483810461783,0.1862641592610797
7,0.5326495145717928,0.03903916068627376,1,0.603095233290498,0.0532905866440955,1,0.0148417886000623,0.0882534446904356,0.33588968740365727,0.02660648146393635,0,0.031208243963742034,-0.17748853278914778,-0.017830023770936967,0.8376559612332688,0.5414431613442809,0.04257842383207514,1,0.07819486209031556,-0.03274686332753119,-0.00400483741850331,0.5214355637612937,0.041090121244166514,1,0.03099739667258745,-0.007153430364889083,-0.0024084025464046806,0.42961332421481024,0.198032948366748
8,0.4321444872821805,0.041772511665568605,1,0.5955903664293155,0.053689330507920206,1,-0.015812471702886997,0.11140283813220263,0.2741879106524046,0.028877792199236762,0,-0.06325889195869418,-0.13721073650556168,-0.025342460883339572,0.8335298364972897,0.4392106012139612,0.04621429294577946,1,-0.1605656366348961,0.14464720024951191,-0.0448709624006546,0.431368383031559,0.04509107924917098,1,-0.06376835810381529,0.00434529860151786,-0.009208557466143656,0.3987504792272844,0.20658993771946438
9,0.5076733757649876,0.03993042579498997,1,0.5321810188488125,0.05603104842959856,1,-0.01759066471637263,0.04977168356518511,0.3102374741176745,0.026229318157758405,0,0.007385041110332281,-0.18048990720566696,-0.01665765978699069,0.8486430911512142,0.4878026169085797,0.04198172137416061,1,0.01839570223754895,-0.027568084603593383,-0.003025000725375797,0.48080168055929356,0.04142891896799768,1,0.0072701374286514055,-0.014015176463233565,-0.012453280406124347,0.4323532071763695,0.20489611781073017
10,0.5335234655675696,0.045312773633893876,1,0.5725237368419498,0.05337424308558662,1,0.023476898131636684,0.049046838710313054,0.32878412219343217,0.029447229946639956,0,0.03142932728142987,-0.18223729236680747,-0.02040791272119022,0.8391483499488228,0.5180575254947325,0.0477734997162119,1,0.07971454266672649,-0.0692484072829579,0.007591390110963854,0.5253040527380105,0.04622092751778884,1,0.03143624518530864,0.004841380299214202,-0.010973572746512438,0.4517598088691984,0.19313450644112065
11,0.4660467751503203,0.04292963119973945,1,0.5737082244424441,0.051638799900846286,1,0.014930852546688899,0.058777371895755215,0.2876197379836333,0.02872457920921243,0,-0.0318010975145865,-0.15363318747684232,-0.02694597702493797,0.8426603238908561,0.46719523980745925,0.046427340204794804,1,-0.08099300504019212,0.10101151785025153,-0.05282327300260013,0.46762840002906436,0.04591606978691352,1,-0.03261908262881597,0.021058499130982837,-0.02081101647310251,0.39250438017709993,0.19732353894811505
12,0.49631719935118723,0.04153029722959103,1,0.5268634465366492,0.05293363574824224,1,-0.04880950052277511,0.0756729470594244,0.32422256629106844,0.027373871329389343,0,-0.00343327637811824,-0.1459574353948826,-0.026386721935930814,0.85357306656324,0.5033750170451556,0.043686523508535385,1,-0.008672021692240779,0.04468663796864432,-0.03263959923124782,0.4761572677844387,0.043178240466645985,1,-0.0035041508233929755,-0.004273727642372831,-0.016064853749795622,0.4243638674491899,0.19706626938741112
13,0.5770029604620791,0.042875237283602666,1,0.5988442067651387,0.05463635549447149,1,0.04162113193929068,0.05722307482584807,0.3436693962926532,0.02826188779877692,0,0.07025582522955409,-0.21005582658987426,-0.01653060234702652,0.8401737091661226,0.5586252320547513,0.045417289770768275,1,0.17569846159313984,-0.1405625365888514,0.023489307050463096,0.5365324775004673,0.04449054361634234,1,0.06980671166445661,-0.02463037358225149,-0.008643860581737838,0.4224486041792124,0.18959408777369205
14,0.4398479031898805,0.044512936163628225,1,0.6422573467612841,0.06015382058862609,0,0.06406654832373512,0.07819079843754896,0.2503939402583544,0.030354319067174024,0,-0.056984435047619526,-0.1862469694866273,-0.00637465520739889,0.8446268901260521,0.409331355357283,0.04874427993302891,1,-0.14341510198202018,0.061849196408322635,-0.009102739069019435,0.4227340184318745,0.04629838832805682,1,-0.05533052406659184,-0.019231919757427135,-0.002703537744106466,0.458169699947349,0.1925219836872674
15,0.5468543735580316,0.04299546284924754,1,0.5982402474812022,0.05456817699770666,1,0.055306206160819674,0.04293404132038243,0.33394113052129504,0.029148568959057024,0,0.043133154576017324,-0.19816449982888618,-0.011027524225836065,0.8234447095258772,0.5370805487778975,0.045924659362409755,1,0.10895048131606141,-0.09256004421647568,0.020690111678311682,0.5310789953265861,0.045700054366337534,1,0.04229400332780224,-0.015275483311386728,0.0040604753101706114,0.45187088742357256,0.19876509081010046
16,0.4627491842540926,0.04140277703168623,1,0.6066903857748548,0.05233761120866589,0,0.016995400874168832,0.08969498490068593,0.29334726592585764,0.027397120894570453,0,-0.034239786435434266,-0.13849442235262918,-0.033918525286078874,0.8410879304221511,0.471125191427512,0.04347876143442678,1,-0.08839530247511464,0.11153414654504422,-0.052013652642417585,0.479576569175805,0.042690440040115275,1,-0.03445135381124588,0.02546137733700318,-0.01143345434995225,0.437080398662713,0.1954988367459694
17,0.5372594292804079,0.044179585967331965,1,0.7658434510952155,0.054786617615353056,0,0.055460752003314365,0.21038269909190124,0.3305898285137766,0.027771842055581027,0,0.03344434441167264,-0.1821743235793799,-0.02068019231851614,0.8315654240991481,0.5301974878110465,0.04409807566034349,1,0.08574546619576885,-0.055855021218544215,0.0003070428338218434,0.5243506595286661,0.044756191425602235,1,0.03417325517658058,-0.007744772156009895,-0.002077823491904633,0.4572365554315601,0.20734713922498138
18,0.482919678694816,0.043064133840413084,1,0.574734302839305,0.061418254525243667,1,0.036785133030953175,0.037949169808351925,0.284458220088607,0.029163039136109018,0,-0.015718641032128132,-0.1700598257565613,-0.029763313122703597,0.8485452419067271,0.44564405024990444,0.047433574885090514,1,-0.0401668889465211,0.004622511604521604,-0.018811572408096004,0.4437516437457257,0.046536016551583154,1,-0.016056551835828794,-0.01055373174656359,-0.029638072671881878,0.45414739220429334,0.19910945845970224
