table,code,label,quarter,value
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2015Q1,3.6
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2015Q2,2.5
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2015Q3,1.6
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2015Q4,0.7
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2016Q1,2.3
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2016Q2,1.3
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2016Q3,2.9
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2016Q4,2.2
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2017Q1,2
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2017Q2,2.3
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2017Q3,3.2
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2017Q4,4.6
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2018Q1,3.3
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2018Q2,2.1
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2018Q3,2.5
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2018Q4,0.6
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2019Q1,2.5
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2019Q2,3.4
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2019Q3,4.8
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2019Q4,2.8
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2020Q1,-5.2
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2020Q2,-28
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2020Q3,34.9
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2020Q4,4.6
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2021Q1,5.7
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2021Q2,7
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2021Q3,3.3
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2021Q4,7
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2022Q1,-1
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2022Q2,0.6
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2022Q3,2.9
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2022Q4,2.8
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2023Q1,2.9
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2023Q2,2.5
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2023Q3,4.7
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2023Q4,3.4
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2024Q1,0.8
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2024Q2,3.6
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2024Q3,3.3
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2024Q4,1.9
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2025Q1,-0.6
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2025Q2,3.8
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2025Q3,4.4
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2025Q4,0.5
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2026Q1,2.1
"T1.5.2 기여도(%p, 연율)",A191RL,Gross domestic product,2026Q2,1.5
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2015Q1,0.02
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2015Q2,0.38
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2015Q3,0.33
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2015Q4,-0.24
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2016Q1,0.05
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2016Q2,0.46
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2016Q3,0.81
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2016Q4,0.43
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2017Q1,0.54
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2017Q2,0.61
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2017Q3,0.53
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2017Q4,1.3
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2018Q1,1.53
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2018Q2,0.63
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2018Q3,0.35
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2018Q4,0.5
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2019Q1,0.38
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2019Q2,1.06
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2019Q3,0.55
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2019Q4,-0.24
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2020Q1,-0.96
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2020Q2,-4.15
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2020Q3,2.69
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2020Q4,1.5
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2021Q1,1.22
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2021Q2,1.31
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2021Q3,-0.18
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2021Q4,0.43
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2022Q1,1.49
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2022Q2,0.91
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2022Q3,0.8
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2022Q4,0.94
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2023Q1,1.13
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2023Q2,1.47
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2023Q3,0.25
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2023Q4,0.76
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2024Q1,0.22
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2024Q2,0.35
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2024Q3,0.48
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2024Q4,-0.51
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2025Q1,1.24
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2025Q2,0.98
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2025Q3,0.44
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2025Q4,0.33
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2026Q1,1.42
"T1.5.2 기여도(%p, 연율)",A008RY,Nonresidential,2026Q2,1.15
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2015Q1,0.27
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2015Q2,0.11
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2015Q3,0.42
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2015Q4,-0.27
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2016Q1,-0.06
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2016Q2,-0.25
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2016Q3,-0.02
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2016Q4,0.12
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2017Q1,0.15
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2017Q2,0.45
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2017Q3,0.4
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2017Q4,0.73
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2018Q1,0.43
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2018Q2,0.05
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2018Q3,0
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2018Q4,0.31
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2019Q1,0.13
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2019Q2,0.24
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2019Q3,-0.35
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2019Q4,-0.52
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2020Q1,-1.1
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2020Q2,-2.23
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2020Q3,2.42
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2020Q4,0.9
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2021Q1,0.32
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2021Q2,0.63
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2021Q3,-0.59
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2021Q4,0
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2022Q1,0.6
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2022Q2,0.04
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2022Q3,0.14
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2022Q4,0.12
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2023Q1,-0.01
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2023Q2,0.61
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2023Q3,-0.13
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2023Q4,0.17
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2024Q1,0.03
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2024Q2,0.44
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2024Q3,0.41
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2024Q4,-0.22
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2025Q1,1
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2025Q2,0.44
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2025Q3,0.28
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2025Q4,0.23
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2026Q1,0.81
"T1.5.2 기여도(%p, 연율)",Y033RY,Equipment,2026Q2,0.8
"T1.5.2 기여도(%p, 연율)",Y034RY,Information processing equipment,2015Q1,0.08
"T1.5.2 기여도(%p, 연율)",Y034RY,Information processing equipment,2015Q2,0.16
"T1.5.2 기여도(%p, 연율)",Y034RY,Information processing equipment,2015Q3,0.23
"T1.5.2 기여도(%p, 연율)",Y034RY,Information processing equipment,2015Q4,0.11
"T1.5.2 기여도(%p, 연율)",Y034RY,Information processing equipment,2016Q1,0.08
"T1.5.2 기여도(%p, 연율)",Y034RY,Information processing equipment,2016Q2,0.03
"T1.5.2 기여도(%p, 연율)",Y034RY,Information processing equipment,2016Q3,0.13
"T1.5.2 기여도(%p, 연율)",Y034RY,Information processing equipment,2016Q4,0.15
"T1.5.2 기여도(%p, 연율)",Y034RY,Information processing equipment,2017Q1,0.11
"T1.5.2 기여도(%p, 연율)",Y034RY,Information processing equipment,2017Q2,0.3
"T1.5.2 기여도(%p, 연율)",Y034RY,Information processing equipment,2017Q3,0.09
"T1.5.2 기여도(%p, 연율)",Y034RY,Information processing equipment,2017Q4,0.27
"T1.5.2 기여도(%p, 연율)",Y034RY,Information processing equipment,2018Q1,0.23
"T1.5.2 기여도(%p, 연율)",Y034RY,Information processing equipment,2018Q2,0.03
"T1.5.2 기여도(%p, 연율)",Y034RY,Information processing equipment,2018Q3,0.1
"T1.5.2 기여도(%p, 연율)",Y034RY,Information processing equipment,2018Q4,0
"T1.5.2 기여도(%p, 연율)",Y034RY,Information processing equipment,2019Q1,0.13
"T1.5.2 기여도(%p, 연율)",Y034RY,Information processing equipment,2019Q2,0.15
"T1.5.2 기여도(%p, 연율)",Y034RY,Information processing equipment,2019Q3,-0.11
"T1.5.2 기여도(%p, 연율)",Y034RY,Information processing equipment,2019Q4,-0.08
"T1.5.2 기여도(%p, 연율)",Y034RY,Information processing equipment,2020Q1,-0.31
"T1.5.2 기여도(%p, 연율)",Y034RY,Information processing equipment,2020Q2,0.22
"T1.5.2 기여도(%p, 연율)",Y034RY,Information processing equipment,2020Q3,0.56
"T1.5.2 기여도(%p, 연율)",Y034RY,Information processing equipment,2020Q4,0.2
"T1.5.2 기여도(%p, 연율)",Y034RY,Information processing equipment,2021Q1,0.19
"T1.5.2 기여도(%p, 연율)",Y034RY,Information processing equipment,2021Q2,0.09
"T1.5.2 기여도(%p, 연율)",Y034RY,Information processing equipment,2021Q3,-0.07
"T1.5.2 기여도(%p, 연율)",Y034RY,Information processing equipment,2021Q4,0.42
"T1.5.2 기여도(%p, 연율)",Y034RY,Information processing equipment,2022Q1,0.25
"T1.5.2 기여도(%p, 연율)",Y034RY,Information processing equipment,2022Q2,-0.05
